Foglio1, id,numero,titolo,,descrizione,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edoardo Albanese,111111,1,Il Creativo (qian),,"Il Creativo è la rappresentazione della massima agibilità, forza, creazione e attività. Non ne abusate.

Sentenza: 
Il creativo opera sublime riuscita, propizio per perseveranza.

",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Edoardo Albanese,000000,2,Il Ricettivo (kun),,"Il Ricettivo rappresenta la forza femminile, la dedizione e la fertilità. È il massimo principio passivo. Segui le guida e le istruzioni degli altri.


Sentenza:
Il Ricettivo opera sublime riuscita, se segue trova una guida.

",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuri Avoletto,010001,3,La difficoltà iniziale (zhun),,"Rappresenta un momento di crescita in cui ci sono ostacoli e incertezze. È necessario affrontare le difficoltà con pazienza e azione coraggiosa, accettando che il progresso sarà lento e non ancora stabile.

Sentenza: Nella “Difficoltà Iniziale” il solido (Yang) e il tenero (Yin) si uniscono per la prima volta (poiché nel Creativo e nel Ricettivo non si mescolavano) e il parto è gravoso.


",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuri Avoletto,100010,4,La stoltezza giovanile (meng),,"Rappresenta l'inesperienza e la ricerca di conoscenza. Indica che il successo è possibile per chi cerca di imparare con umiltà, ma è fondamentale non insistere o ripetere le stesse domande in modo molesto. La guida viene data a chi cerca sinceramente, ma se l'approccio è arrogante, non si riceverà aiuto. Si incoraggia la perseveranza nella ricerca della saggezza e della crescita personale.

Sentenza: La Stoltezza Giovanile ha riuscita. Non sono io a cercare il giovane stolto, è lui che mi cerca. Alla prima consultazione rispondo. Se interroga due o tre volte, questo è molestia. Se molesta, non rispondo. Propizio è perseverare.",634,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlo Brusa,010111,5,L'attesa (xu),,"Nella quinta interpretazione dell'I Ching, si evidenzia che la speranza non è solo un'aspettativa vuota, ma si basa su una forte certezza interiore di poter raggiungere i propri obiettivi. Questa certezza è una luce che guida verso il successo. La perseveranza aiuta a costruire la forza necessaria per perseguire i nostri sogni al momento giusto.",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Carlo Brusa,111010,6,La lite (song),," La Lite nasce dall'interazione tra due forze: una forte e una pericolosa. Essa rappresenta un conflitto in cui la sincerità è ostacolata, e la verità rimane bloccata. Si vede un ostacolo centrale che crea difficoltà e minaccia il successo del conflitto. Tuttavia, c'è la possibilità di riconoscere e onorare un grande leader che rappresenta il giusto. Non è consigliabile affrontare situazioni rischiose, simboleggiate da un grande fiume, poiché ci sono pericoli che possono portare a gravi conseguenze.",504,,,,,,,,,,,,,,,,,,,,,,,,,,
Matteo Cassaniti,000010,7,L'esercito (shi),,"Sentenza: L'Esercito. Perseveranza del giusto porta salute. Se l'esercito non è buono, ci sarà sfortuna.
Organizza e guida con fermezza e chiarezza. L'ordine e la disciplina sono essenziali per il successo, ma devi anche mantenere un equilibrio con la bontà. Un esercito senza controllo è destinato a fallire.

",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Matteo Cassaniti,010000,8,La solidarietà (bǐ),,"Sentenza: La Solidarietà porta salute. Si deve interrogare l’oracolo ancora una volta: se si è puri e sinceri si avrà sublime salute. Se si esita, sorge disordine.
Cerca l'unione e la collaborazione con gli altri in modo sincero e puro. Se sei chiaro e sincero nelle tue intenzioni, otterrai grandi risultati. Tuttavia, evita esitazioni e dubbi, poiché potrebbero portare disordine e disarmonia.

",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Cristoforo Cozzolino,110111,9,La forza domatrice del piccolo (xiao xu),,"SENTENZA:
""Riuscita. Dense nuvole ma nessuna pioggia""

evidenzia l'importanza di un controllo paziente e delicato. Invita a concentrarsi su piccoli progressi e a mantenere equilibrio e moderazione, accettando i limiti attuali. Sebbene ci sia potenziale, è fondamentale attendere che le condizioni siano mature per ottenere risultati significativi.






",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
Cristoforo Cozzolino,111011,10,Il procedere (lu),,"Procedere sulla coda della tigre.
Essa non morde l’Uomo.
Riuscita.

L'Esagramma 10 dell'I Ching, ""Il Procedere"", sottolinea l'importanza di avanzare con cautela in situazioni pericolose. Il successo richiede attenzione, rispetto e diplomazia, evitando provocazioni e mantenendo un equilibrio per superare gli ostacoli in sicurezza.






",lunghezza adeguata,,,,,,,,,,,,,,,,,,,,,,,,,,
